filing_id,company_id,company_name,report_year,page_anchor_status,disclosure_pattern_status,main_statement_value_golden_status,main_statement_value_assertion_count,primary_child_table_golden_status,primary_child_table_count,primary_child_value_assertion_count,supplementary_child_table_golden_status,supplementary_child_table_count,supplementary_child_value_assertion_count,continuation_segment_golden_status,continuation_segment_count,continuation_value_assertion_count,current_period_value_assertion_count,comparative_period_value_assertion_count,restated_period_value_assertion_count,schema_validation_status,evidence_crops_status,last_adjudicated_by,last_adjudicated_date,annotation_change_log_id,primary_only_release_status,all_note_tables_release_status,audit_note
PING_AN_2023,PING_AN,中国平安,2023,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,4,86,NOT_AUDITED,0,0,NOT_AUDITED,0,0,43,0,43,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,No certified continuation segment assets exist in the corpus.
PING_AN_2024,PING_AN,中国平安,2024,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,4,84,NOT_AUDITED,0,0,NOT_AUDITED,0,0,42,42,0,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,No certified continuation segment assets exist in the corpus.
PING_AN_2025,PING_AN,中国平安,2025,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,4,84,NOT_AUDITED,0,0,NOT_AUDITED,0,0,42,42,0,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.3-PRIMARY-GOLDEN-COVERAGE,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,Primary child tables were independently verified against canonical PDF pages 262-263; supplementary and continuation inventory remains unaudited.
NEW_CHINA_LIFE_2023,NEW_CHINA_LIFE,新华保险,2023,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,5,CERTIFIED_GOLDEN,5,41,CERTIFIED_GOLDEN,2,44,NOT_AUDITED,0,0,82,0,3,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.4-SUPPLEMENTARY-GOLDEN-CLOSURE,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,PDF p188-p189 independently certifies two ECL supplementary schedules; legacy comparative scope and full continuation boundary audit remain pending.
NEW_CHINA_LIFE_2024,NEW_CHINA_LIFE,新华保险,2024,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,4,76,CERTIFIED_GOLDEN,4,84,CERTIFIED_GOLDEN,0,0,78,82,0,VALID,AVAILABLE,User_Provided_Evidence_and_Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.2-NEW-CHINA-LIFE-2024-SUPPLEMENTARY-GOLDEN,CLEAR,CLEAR,Direct PDF p192-197 audit certified four supplementary schedules and zero true continuation segments.
NEW_CHINA_LIFE_2025,NEW_CHINA_LIFE,新华保险,2025,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,4,86,CERTIFIED_GOLDEN,3,80,NOT_AUDITED,0,0,83,83,0,VALID,MISSING,Codex_Agent_Adjudicator,2026-08-24,ACL-1.2.0-NEW-CHINA-LIFE-2025-ANCHOR-CORRECTION,CLEAR,BLOCKED_PENDING_CERTIFIED_CONTINUATION_AUDIT,Anchor corrected by direct PDF review to physical page 120; no versioned page crop is currently retained. Three schedules titled 续 are certified supplementary logical tables not continuation segments; page 197 contains one schedule with two period blocks.
CPIC_2023,CPIC,中国太保,2023,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,0,0,NOT_AUDITED,0,0,NOT_AUDITED,0,0,0,0,0,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,No certified continuation segment assets exist in the corpus.
CPIC_2024,CPIC,中国太保,2024,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,0,0,NOT_AUDITED,0,0,NOT_AUDITED,0,0,0,0,0,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.3-PRIMARY-GOLDEN-COVERAGE,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,Primary child tables were independently verified against canonical PDF pages 151-153; supplementary and continuation inventory remains unaudited.
CPIC_2025,CPIC,中国太保,2025,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,4,CERTIFIED_GOLDEN,0,0,NOT_AUDITED,0,0,NOT_AUDITED,0,0,0,0,0,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR,BLOCKED_PENDING_FULL_NOTE_AUDIT,No certified continuation segment assets exist in the corpus.
CHINA_LIFE_2023,CHINA_LIFE,中国人寿,2023,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,5,CERTIFIED_GOLDEN,5,92,CERTIFIED_GOLDEN,3,66,NOT_AUDITED,0,0,79,79,0,VALID,AVAILABLE,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS,CLEAR,BLOCKED_PENDING_CERTIFIED_CONTINUATION_AUDIT,PDF p177 independently adds the ten comparative held-to-maturity source cells; the p175 loans maturity schedule and the two tables titled 续 remain certified supplementary logical tables not continuation segments.
