version,date,change_type,description
1.0.0,2026-07-29,INITIAL_RELEASE,中国太保 2023-2025 年报页面锚点 Lite Fixture（STATUS: HUMAN_VERIFIED_PENDING_SHA）
1.1.0,2026-07-29,EXPANSION_AND_SHA_BINDING,绑定中国太保 SHA256 并拓展平安、新华、国寿 2023-2025 共 12 份年报模式与锚点，升至 CERTIFIED_GOLDEN
1.1.1,2026-08-04,GOVERNANCE_REGISTRY_MIGRATION,ACL-1.1.1-GOVERNANCE-MIGRATION：归档13行历史 inventory；建立12份 canonical identity baseline、exclusions、filing coverage 与 table/segment registry；补回主表、主子表、补充子表与续段覆盖事实。续标题但维度重置的资产维持 SUPPLEMENTARY_TABLE，未伪造 CONTINUATION_SEGMENT。
1.1.2,2026-08-04,NEW_CHINA_LIFE_2024_SUPPLEMENTARY_GOLDEN,ACL-1.1.2-NEW-CHINA-LIFE-2024-SUPPLEMENTARY-GOLDEN：依据用户提供截图与 canonical PDF p192-197 直接核验，补齐新华2024四张 ECL supplementary logical tables 共84个金额单元；认证该附注范围不存在 true continuation segment。
1.1.3,2026-08-04,PRIMARY_CHILD_GOLDEN_COVERAGE,ACL-1.1.3-PRIMARY-GOLDEN-COVERAGE：依据 canonical PDF 直接核验并补齐中国平安2025、中国太保2024、中国人寿2025 四份主子表 Golden，共12张 PRIMARY_TABLE、242个金额单元；未将未审计 supplementary 或 continuation 误标为已认证。
1.1.4,2026-08-04,SUPPLEMENTARY_GOLDEN_CLOSURE,ACL-1.1.4-SUPPLEMENTARY-GOLDEN-CLOSURE：依据 SHA 绑定 canonical PDF 原图与文本层，补齐新华2023两张 ECL、国寿2024一张公允价值层级、国寿2025一张双期间 stacked 公允价值层级，共4张 SUPPLEMENTARY_TABLE、92个金额单元；修正国寿2024 registry 附注章节为十一、。
1.1.5,2026-08-04,CPIC_NUMERIC_PARENT_LABEL_CORRECTION,ACL-1.1.5-CPIC-NUMERIC-PARENT-LABEL：依据 SHA 绑定 canonical PDF 原图核验太保2023 p169/p170 与2024 p151/p152；六张表的数值父行原文均为“债券”而非“债券小计”，更正旧合成 raw_label，金额、期间、页码和子项层级事实不变。
1.1.6,2026-08-04,CHINA_LIFE_2023_LOANS_SUPPLEMENTARY,ACL-1.1.6-CHINA-LIFE-2023-LOANS-SUPPLEMENTARY：依据 SHA 绑定 canonical PDF reader p174/p175 的文本层与原图双重核验，将 p175“8.贷款（续）-(b)其他贷款”到期期限分析的6行12个金额从 PRIMARY_TABLE Golden 迁移为独立 SUPPLEMENTARY_TABLE；金额、期间与页码事实不变，未伪造 continuation。
1.1.7,2026-08-04,CHINA_LIFE_2023_LEGACY_LOANS_IDENTITY,ACL-1.1.7-CHINA-LIFE-2023-LEGACY-LOANS-IDENTITY：中国人寿2023贷款及其p175补充表属于旧金融资产分类；将Golden member_id由未定义的loans纠正为Research Definition正式身份legacy_loans。稳定logical/physical IDs、PDF事实、金额、期间与页码均不变，未做新旧准则折叠。
1.1.8,2026-08-04,CHINA_LIFE_PRIMARY_SOURCE_COMPLETENESS,ACL-1.1.8-CHINA-LIFE-PRIMARY-SOURCE-COMPLETENESS：依据SHA绑定canonical PDF原生文字、坐标与页面原图独立核验，补齐国寿2023持有至到期投资2022年摊余成本/公允价值10格，以及国寿2024/2025四张主表各自第二个真实“合计”共12格；保留重复总计的独立行序身份，不从Capture反推Golden。
1.2.0,2026-08-23,GOLDEN_IDENTITY_AND_PING_AN_PORTFOLIO_COMPLETION,ACL-1.2.0-GOLDEN-IDENTITY：新增向后兼容 Golden Identity v1.2 sidecar；依据当前 canonical PDF 原图与原生文本独立核验平安2024 reader p49/printed p45、平安2025 reader p59/printed p55 两张双分类投资组合物理表，共60行事实；其余现有 Golden 仅投影稳定行/父项/occurrence 身份，不从 Capture 补值。太保金融投资旧 SHA 继续阻断，等待当前上市母公司 PDF 独立复核。
