golden_id,company_id,company_name,report_year,golden_file,disclosure_topology,physical_asset_count,logical_block_count,reported_total_status,row_value_coverage,annotation_status,last_adjudicated_by,last_adjudicated_date,audit_note
PING_AN_2023_INVESTMENT_PORTFOLIO,PING_AN,中国平安,2023,companies/ping_an/2023/investment_portfolio_golden.yaml,DIRECT_SEPARATE_TABLES_SAME_PAGE,2,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,Two independent tables share physical PDF page 28 and printed page 24.
CHINA_LIFE_2023_INVESTMENT_PORTFOLIO,CHINA_LIFE,中国人寿,2023,companies/china_life/2023/investment_portfolio_golden.yaml,DIRECT_SINGLE_AXIS_TABLE,1,1,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,Only the investment-object axis is disclosed in this table.
CHINA_LIFE_2024_INVESTMENT_PORTFOLIO,CHINA_LIFE,中国人寿,2024,companies/china_life/2024/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,One physical table contains two classification-axis blocks.
CHINA_LIFE_2025_INVESTMENT_PORTFOLIO,CHINA_LIFE,中国人寿,2025,companies/china_life/2025/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,One physical table contains two classification-axis blocks.
CPIC_GROUP_2023_INVESTMENT_PORTFOLIO,CPIC_GROUP,中国太保,2023,companies/cpic_group/2023/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,Official listed-parent annual report; not the local CPIC Life disclosure report.
CPIC_GROUP_2024_INVESTMENT_PORTFOLIO,CPIC_GROUP,中国太保,2024,companies/cpic_group/2024/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,Official listed-parent annual report; not the local CPIC Life disclosure report.
CPIC_GROUP_2025_INVESTMENT_PORTFOLIO,CPIC_GROUP,中国太保,2025,companies/cpic_group/2025/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,Official listed-parent annual report; not the local CPIC Life disclosure report.
NEW_CHINA_LIFE_2023_INVESTMENT_PORTFOLIO,NEW_CHINA_LIFE,新华保险,2023,companies/new_china_life/2023/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,Comparative amount is disclosed under a non-comparable accounting regime.
NEW_CHINA_LIFE_2024_INVESTMENT_PORTFOLIO,NEW_CHINA_LIFE,新华保险,2024,companies/new_china_life/2024/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,One physical table contains two classification-axis blocks.
NEW_CHINA_LIFE_2025_INVESTMENT_PORTFOLIO,NEW_CHINA_LIFE,新华保险,2025,companies/new_china_life/2025/investment_portfolio_golden.yaml,DIRECT_COMPOUND_TABLE,1,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-13,One physical table contains two classification-axis blocks.
PING_AN_2024_INVESTMENT_PORTFOLIO,PING_AN,中国平安,2024,companies/ping_an/2024/investment_portfolio_golden.yaml,DIRECT_SEPARATE_TABLES_SAME_PAGE,2,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-23,Direct PDF native text and rendered page independently verified; no runtime Capture values used.
PING_AN_2025_INVESTMENT_PORTFOLIO,PING_AN,中国平安,2025,companies/ping_an/2025/investment_portfolio_golden.yaml,DIRECT_SEPARATE_TABLES_SAME_PAGE,2,2,DISCLOSED,FULL,CERTIFIED_GOLDEN_ROW_VALUES,Codex_Agent_Adjudicator,2026-08-23,Direct PDF native text and rendered page independently verified; no runtime Capture values used.
