logical_table_id,physical_segment_id,filing_id,member_id,table_classification,segment_role,associated_primary_logical_table_id,continuation_of_physical_segment_id,note_reference,raw_table_title,pdf_page_start,pdf_page_end,golden_asset_path,table_identity_assertion_status,structure_assertion_status,value_assertion_count,current_period_value_assertion_count,comparative_period_value_assertion_count,restated_period_value_assertion_count,continuation_relation_status,continuation_evidence_ref,annotation_status,reviewer,review_date,annotation_change_log_id,release_blocking_status
PING_AN_2023_PRIMARY_FVTPL_ASSETS,PING_AN_2023_PRIMARY_FVTPL_ASSETS_SEGMENT_01,PING_AN_2023,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,9,9. 以公允价值计量且其变动计入当期损益的金融资产,221,221,companies/ping_an/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,26,13,0,13,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2023_PRIMARY_DEBT_INVESTMENT,PING_AN_2023_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,PING_AN_2023,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,10,10. 债权投资,221,221,companies/ping_an/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,22,11,0,11,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2023_PRIMARY_OTHER_DEBT_INVESTMENT,PING_AN_2023_PRIMARY_OTHER_DEBT_INVESTMENT_SEGMENT_01,PING_AN_2023,other_debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,11,11. 其他债权投资,222,222,companies/ping_an/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,22,11,0,11,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2023_PRIMARY_OTHER_EQUITY_INVESTMENT,PING_AN_2023_PRIMARY_OTHER_EQUITY_INVESTMENT_SEGMENT_01,PING_AN_2023,other_equity_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,12,12. 其他权益工具投资,222,222,companies/ping_an/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,16,8,0,8,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2024_PRIMARY_FVTPL_ASSETS,PING_AN_2024_PRIMARY_FVTPL_ASSETS_SEGMENT_01,PING_AN_2024,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,9,9. 以公允价值计量且其变动计入当期损益的金融资产,233,233,companies/ping_an/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,26,13,13,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2024_PRIMARY_DEBT_INVESTMENT,PING_AN_2024_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,PING_AN_2024,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,10,10. 债权投资,233,233,companies/ping_an/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,22,11,11,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2024_PRIMARY_OTHER_DEBT_INVESTMENT,PING_AN_2024_PRIMARY_OTHER_DEBT_INVESTMENT_SEGMENT_01,PING_AN_2024,other_debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,11,11. 其他债权投资,234,234,companies/ping_an/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,20,10,10,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
PING_AN_2024_PRIMARY_OTHER_EQUITY_INVESTMENT,PING_AN_2024_PRIMARY_OTHER_EQUITY_INVESTMENT_SEGMENT_01,PING_AN_2024,other_equity_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,12,12. 其他权益工具投资,234,234,companies/ping_an/2024/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,16,8,8,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-04,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2023_PRIMARY_FVTPL_ASSETS,NEW_CHINA_LIFE_2023_PRIMARY_FVTPL_ASSETS_SEGMENT_01,NEW_CHINA_LIFE_2023,fvtpl_assets,PRIMARY_TABLE,LOGICAL_ROOT,,,附注11,11 交易性金融资产,187,187,companies/new_china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,14,14,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
NEW_CHINA_LIFE_2023_PRIMARY_DEBT_INVESTMENT,NEW_CHINA_LIFE_2023_PRIMARY_DEBT_INVESTMENT_SEGMENT_01,NEW_CHINA_LIFE_2023,debt_investment,PRIMARY_TABLE,LOGICAL_ROOT,,,附注12,12 债权投资,188,188,companies/new_china_life/2023/golden_values.yaml,CERTIFIED_GOLDEN,CERTIFIED_GOLDEN,10,10,0,0,NOT_APPLICABLE,,CERTIFIED_GOLDEN,Codex_Agent_Adjudicator,2026-08-03,ACL-1.1.1-GOVERNANCE-MIGRATION,CLEAR
