conflict_type,capture_run_id,canonical_key,reference_predecessor_key,first_row_order,duplicate_row_order,detail
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::社会统筹保险费,CANON::业务及管理费::按费用项目::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::使用权资产折旧费,CANON::业务及管理费::按费用项目::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::电子设备运转费,CANON::业务及管理费::按费用项目::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::租赁费,CANON::业务及管理费::按费用项目::营销培训费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::宣传费,CANON::业务及管理费::按费用项目::无形资产摊销,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::业务招待费,CANON::业务及管理费::按费用项目::固定资产折旧费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::会议费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::公杂费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2023年报__业务及管理费__20260722T090301,CANON::业务及管理费::按费用项目::咨询费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::社会统筹保险费,CANON::业务及管理费::按费用项目::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::宣传费,CANON::业务及管理费::按费用项目::营销培训费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::使用权资产折旧费,CANON::业务及管理费::按费用项目::营销培训费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::租赁费,CANON::业务及管理费::按费用项目::营销培训费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::电子设备运转费,CANON::业务及管理费::按费用项目::营销培训费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::无形资产摊销,CANON::业务及管理费::按费用项目::研究费用,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::业务招待费,CANON::业务及管理费::按费用项目::研究费用,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::固定资产折旧费,CANON::业务及管理费::按费用项目::研究费用,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::专业外包服务费,CANON::业务及管理费::按费用项目::研究费用,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::长期待摊费用摊销,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::邮电费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::会议费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::咨询费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,中银三星2024年报__43_业务及管理费__20260722T090819,CANON::业务及管理费::按费用项目::公杂费,CANON::业务及管理费::按费用项目::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
