conflict_type,capture_run_id,canonical_key,reference_predecessor_key,first_row_order,duplicate_row_order,detail
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::使用权资产折旧,CANON::交银人寿20222025业务及管理费::::社会统筹保险费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::住房公积金,CANON::交银人寿20222025业务及管理费::::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::无形资产摊销,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::培训费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::业务宣传费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::业务招待费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::邮电费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::软件维护修理费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::长期摊销费用,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::工会经费和职工教育经费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2023年报__业务及管理费__20260721T162522,CANON::交银人寿20222025业务及管理费::::固定资产折旧,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::使用权资产折旧,CANON::交银人寿20222025业务及管理费::::社会统筹保险费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::住房公积金,CANON::交银人寿20222025业务及管理费::::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::物业及公杂费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::无形资产摊销,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::业务宣传费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::委托投资管理费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::培训费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::软件维护修理费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::业务招待费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::邮电费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::长期摊销费用,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2024年报__业务及管理费__20260721T162518,CANON::交银人寿20222025业务及管理费::::固定资产折旧,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::使用权资产折旧,CANON::交银人寿20222025业务及管理费::::社会统筹保险费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::住房公积金,CANON::交银人寿20222025业务及管理费::::保险保障基金,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::委托投资管理费,CANON::交银人寿20222025业务及管理费::::无形资产摊销,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::物业及公杂费,CANON::交银人寿20222025业务及管理费::::无形资产摊销,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::业务宣传费,CANON::交银人寿20222025业务及管理费::::会议费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::培训费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::邮电费,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
ORDER_CONFLICT,交银人寿2025年报__业务及管理费__20260721T162218,CANON::交银人寿20222025业务及管理费::::固定资产折旧,CANON::交银人寿20222025业务及管理费::::差旅费,,,该来源对共同项目的相对顺序与排序基准表冲突；最终合表继续严格采用排序基准表顺序，不自动重排。
